Bill month,Therms used,Average daily temperature
10/1/17,21.28628278,73.48756367
9/1/17,8.987879376,75.49211389
8/1/17,-0.185266605,81.066069
7/1/17,10.8120993,81.83504274
6/1/17,63.74646867,70.35240226
5/1/17,98.06316921,65.26853159
4/1/17,532.9280457,52.41241112
3/1/17,694.014926,48.12914123
2/1/17,849.4002301,44.11203665
1/1/17,1383.68883,39.02072117
12/1/16,783.1399679,49.69411325
11/1/16,141.5580182,62.53293808
10/1/16,6.068339139,73.08481982
9/1/16,18.13018219,84.0926862
8/1/16,11.45081315,81.75220909
7/1/16,19.76678702,76.04731005
6/1/16,99.74710364,67.85420278
5/1/16,140.4075581,57.9120852
4/1/16,465.6240195,56.09152227
3/1/16,981.1583391,41.24529478
2/1/16,1240.067742,37.99551366
1/1/16,724.4044516,47.23752968
,,
,,